SKU,Stock_Level,Quantity,Equal
AKK-64,2,5,False
AKK-A15359S,5,7,False
AKK-A15359T,0,8,False
AKK-CHWRE,0,5,False
AKK-PRS,44,0,False
AKSP2028E,0,0,True
AKSP20EB,10,0,False
AKSP20XM12,3,5,False
AKSP30E,3,1,False
AKSP30EA,9,28,False
AKSP30EB,2,1,False
AKSP30ELH,1,3,False
AKSP30X,7,11,False
AKSPCRH,35,0,False
AKSPCB,27,3,False
AKSS1220,31,8,False
AKSS1230,76,13,False
AKTR30E,41,2,False
AKTR30EA,4,1,False
AKTR30ELH,9,0,False
026509001317,67,0,False
026509131052,86,0,False
026509013143,108,0,False
026509131540,0,0,True
026509001331,18,0,False
20026509134019,139,0,False
026509144946,7,0,False
026509014607,3,0,False
026509014614,6,0,False
026509014621,0,0,True
026509146209,0,0,True
026509146254,5,0,False
026509014638,0,0,True
026509146308,0,0,True
026509014645,0,0,True
026509146995,5,0,False
026509150039,7,0,False
026509001515,5,0,False
026509015208,0,0,True
026509015239,0,0,True
026509153207,6,0,False
026509153603,0,0,True
026509153801,0,0,True
026509015390,10,0,False
026509158509,3,0,False
026509159902,2,0,False
026509001614,11,0,False
026509001812,6,0,False
026509013440,2,0,False
10026509008962,0,0,True
026509013433,8,0,False
026509185000,0,0,True
026509013426,0,0,True
026509190998,0,0,True
AL19199,0,0,True
026509001973,0,0,True
026509001980,0,0,True
026509201236,0,0,True
026509201434,9,0,False
026509201717,1,0,False
026509201724,30,0,False
026509201731,41,0,False
026509002055,45,0,False
026509205500,36,0,False
026509020592,0,0,True
026509002062,63,0,False
026509002123,96,0,False
026509021704,11,0,False
026509022725,8,0,False
026509227731,0,0,True
026509227779,0,0,True
026509000235,0,0,True
026509008835,15,0,False
026509000266,0,0,True
026509008323,0,0,True
10026509274350,0,0,True
026509010111,22,0,False
026509013518,0,0,True
026509278351,0,0,True
026509278504,0,0,True
026509042006,13,0,False
026509000433,0,0,True
026509043102,17,0,False
026509005407,10,0,False
026509000600,0,0,True
026509006008,0,0,True
026509000617,0,0,True
026509000662,0,0,True
026509066637,0,0,True
026509006749,36,0,False
026509684008,0,0,True
026509684503,0,0,True
026509070009,10,0,False
026509072119,12,0,False
10026509072130,46,0,False
026509076124,0,0,True
026509080619,6,0,False
026509081036,0,0,True
026509081401,43,0,False
026509081456,12,0,False
026509081630,0,0,True
026509082118,45,0,False
026509082163,6,0,False
026509008767,0,0,True
026509082514,0,0,True
026509082637,0,0,True
026509082712,0,0,True
026509008354,0,0,True
026509008378,0,0,True
026509008385,3,0,False
026509082934,2,0,False
026509830030,21,0,False
20026509830041,0,0,True
026509008910,9,0,False
026509008934,8,0,False
026509083115,58,0,False
026509083405,0,0,True
026509083429,0,0,True
026509083436,0,0,True
026509020066,0,0,True
026509083597,0,0,True
026509083665,0,0,True
20026509083676,0,0,True
026509083702,0,0,True
026509083726,0,0,True
026509010067,0,0,True
026509010074,0,0,True
026509000853,13,0,False
026509088899,0,0,True
026509089797,0,0,True
026509995463,37,0,False
026509997481,0,0,True
026509015604,0,0,True
026509015680,1,0,False
AMR17HMR,7,0,False
AMR17T,4,0,False
AMR17TG,9,0,False
AMR22250,0,0,True
AMR22LRC,17,0,False
AMR22LRCT,6,0,False
AMR22LRK,0,0,True
AMR22LRMG,188,0,False
AMR22LRS,3,0,False
AMR22LRT,7,0,False
AMR22LRTG,0,0,True
AMR22M,49,0,False
AMR22MC,2,0,False
AMR22MCT,0,0,True
AMR22MODG,203,0,False
AMR22MT,8,0,False
AMR22MTG,4,0,False
AMR243,47,0,False
AMR3006,25,0,False
AMR308,45,0,False
AMRL22250,0,0,True
AMRL223,0,0,True
AMRL270,0,0,True
AMRL3006,0,0,True
AMRL308,18,0,False
AMRL708,0,0,True
AMRMS300W,0,0,True
AMRMS7REM,0,0,True
AMRPD223,0,0,True
AMRPD243,0,0,True
AMRPD308,0,0,True
AMRPD65,2,0,False
AMRPD6MMC,0,0,True
AMRPDX204,0,0,True
AMRPDX308,0,0,True
AMRPDX65C,0,0,True
AMRR223,0,0,True
AMRR300B,0,0,True
AMRR450B,12,0,False
AMRR762,11,0,False
AMRS22250,0,0,True
AMRS223,0,0,True
AMRS243,0,0,True
